"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"C2","0805","2281mil","461mil","2281mil","461mil","2281mil","506mil","T","270.00","22p"
"Y1","X32768","2318mil","669.5mil","2318mil","629mil","2318mil","709.5mil","T","90.00","32.768 KHz"
"DS1","H-10","1672mil","959mil","1672mil","959mil","1472mil","659mil","T","0.00","HDSP-5503"
"R9","0805","2161mil","659mil","2161mil","659mil","2161mil","704mil","T","270.00","3M"
"J1","JBDM","2489.636mil","167.522mil","2389.635mil","117.523mil","2389.636mil","117.522mil","T","360.00","BDM Port"
"D1","LED5","396mil","283mil","396mil","283mil","446mil","283mil","T","180.00","ROJO"
"D2","LED5","396.001mil","727.999mil","396mil","728mil","446.001mil","727.999mil","T","180.00","AMARILLO"
"D3","LED5","396mil","1163mil","396mil","1163mil","446mil","1163mil","T","180.00","VERDE"
"S1","TACTSWITCH","2842.099mil","1062.519mil","2842.097mil","1062.52mil","2753.516mil","1190.471mil","T","0.00","ON/OFF"
"S2","TACTSWITCH","2842.099mil","393mil","2842.098mil","393mil","2753.516mil","265.047mil","T","0.00","CV"
"IR1","IRM8601S","3144.156mil","1386.291mil","3278.013mil","1323.102mil","3244.55mil","1386.488mil","T","180.00","IRM8601S"
"T2","SOT23","2432.599mil","925.197mil","2395.196mil","875mil","2395.198mil","875mil","T","360.00","BC817"
"R11","0805","2253mil","874mil","2253mil","874mil","2208mil","874mil","T","360.00","10K"
"R7","0805","2244.634mil","167.519mil","2244.635mil","167.521mil","2244.634mil","212.519mil","T","270.00","4K7"
"U","SOIC127P600X175-8N","849mil","459mil","849mil","459mil","774mil","352.7mil","T","90.00","24C64"
"BZ1","BUZZER_12MM","2405.816mil","1062mil","2405.815mil","1062mil","2255.816mil","1062mil","B","360.00","BUZZER CON OSCILADOR"
"C1","0805","2418mil","584mil","2418mil","584mil","2418mil","539mil","B","90.00","22p"
"R18","0805","1917mil","555mil","1917mil","555.002mil","1962mil","555mil","B","180.00","330"
"R17","0805","1425mil","1361mil","1425mil","1360.998mil","1380mil","1361mil","B","360.00","330"
"R16","0805","1527mil","1150mil","1527mil","1149.998mil","1482mil","1150mil","B","360.00","330"
"R14","0805","1428mil","555mil","1428mil","555mil","1383mil","555mil","B","360.00","330"
"R13","0805","1526mil","777mil","1526mil","777mil","1481mil","777mil","B","360.00","330"
"R12","0805","1818mil","777mil","1818mil","777.002mil","1863mil","777mil","B","180.00","330"
"R10","0805","1915mil","1361mil","1915mil","1361mil","1960mil","1361mil","B","180.00","330"
"U2","SOIC127P600X175-14N","985mil","1205mil","985mil","1205mil","1087mil","1355mil","B","180.00","74HC164D"
"U1","TSSOP20","991mil","766mil","991mil","766mil","882.732mil","650.842mil","B","90.00","MC9S08SH4 (TSSOP20)"
"R6","0805","2534.636mil","372.522mil","2534.635mil","372.523mil","2579.636mil","372.522mil","B","180.00","4K7"
"R3","0805","594.478mil","1137.634mil","594.477mil","1137.635mil","594.478mil","1182.634mil","B","270.00","330"
"R4","0805","594.478mil","742.634mil","594.477mil","742.635mil","594.478mil","787.634mil","B","270.00","330"
"R5","0805","596.001mil","417.999mil","596mil","418mil","596.001mil","462.999mil","B","270.00","330"
"R1","0805","2886.001mil","1080.999mil","2886mil","1081mil","2931.001mil","1080.999mil","B","180.00","10k"
"R2","0805","2885.366mil","380.476mil","2885.365mil","380.477mil","2930.366mil","380.476mil","B","180.00","10k"
"J2","SIP7*2","1681mil","351mil","1381mil","401mil","1381mil","401mil","B","360.00","CON7*2"
"R8","0805","1817mil","1150mil","1817mil","1150mil","1862mil","1150mil","B","180.00","330"

