Field=Comment~String~Comment~100|Field=Designator~String~Designator~131|Field=Footprint~String~Footprint~100|Field=Quantity~Integer~Quantity~100|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Controlador de velocidad - Placa fuente v2.PrjPcb|ReportField=ProjectFullPath~d:\Documentos\Airecontrol\Proyectos\Controlador de velocidad\controlador-de-velocidad\PCBs\Controlador de velocidad - Placa fuente v2\Controlador de velocidad - Placa fuente v2.PrjPcb|ReportField=Title~Bill of Materials For Project [Controlador de velocidad - Placa fuente v2.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~32|ReportField=ReportTime~12:00:42|ReportField=ReportDate~06/01/2021|ReportField=ReportDateTime~06/01/2021 12:00:42|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~06/01/2021|ReportField=CurrentTime~11:58:56|ReportField=Date~|ReportField=DocumentFullPathAndName~d:\Documentos\Airecontrol\Proyectos\Controlador de velocidad\controlador-de-velocidad\PCBs\Controlador de velocidad - Placa fuente v2\Controlador de velocidad - Placa fuente v2.SchDoc|ReportField=DocumentName~Controlador de velocidad - Placa fuente v2.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~21/12/2020|ReportField=Organization~|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~Controlador de velocidad - Placa fuente v2.PrjPcb|ReportField=DataSourceFullPath~d:\Documentos\Airecontrol\Proyectos\Controlador de velocidad\controlador-de-velocidad\PCBs\Controlador de velocidad - Placa fuente v2\Controlador de velocidad - Placa fuente v2.PrjPcb
1000uF/25V|C1|CAP300RP|1
0.01u|C2|AXIAL-0.4|1
100N|C3|C0805|1
1N4007|D1, D2, D3, D4, D5, D6|DO41|6
Faston|F1, F3|Faston_V|2
L|F2|Faston_V|1
N|F4|Faston_V|1
Fusible|FB1|Porta_fuse_2|1
MAC8x|MAC1|TO-220_vert|1
MOC3023|MOC1|4N33|1
Header 12X2|p1|HDR2X12|1
10K|R1, R2, R8, R9|0805|4
220|R3|0805|1
1K|R4|AXIAL-0.4|1
1k|R5|0805|1
220|R6|AXIAL-0.4|1
120|R7|RES400|1
IZUMI|RLY1|Relay NT73-2|1
BC817|T1, T3, T4|SOT23|3
UC30D-2-120018|T2|Trafo_220_12_1|1
7805|U1|TO-220 V|1
