"Bill of Material for Controlador de velocidad - Placa fuente v2.PcbDoc"
"On 06/01/2021 at 11:58:25"

"Comment","Pattern","Quantity","Components"

"0.01u","AXIAL-0.4","1","C2",""
"1000uF/25V","CAP300RP","1","C1",""
"100N","C0805","1","C3",""
"10K","0805","4","R1, R2, R5, R8",""
"120","RES400","1","R7",""
"1k","0805","1","R9",""
"1K","AXIAL-0.4","1","R6",""
"1N4007","DO41","6","D1, D2, D3, D4, D5, D6",""
"220","0805","1","R3",""
"7805","TO-220 V","1","U1","REGULDOR POSITIVO"
"BC817","SOT23","3","T1, T3, T4",""
"Faston","Faston_V","2","F1, F3",""
"Fusible","Porta_fuse_2","1","FB1",""
"Header 12X2","HDR2X12","1","p1","Header, 12-Pin, Dual row"
"IZUMI","Relay NT73-2","1","RLY1",""
"L","Faston_V","1","F2",""
"MAC8x","TO-220_vert","1","MAC1",""
"MOC3023","4N33","1","MOC1",""
"N","Faston_V","1","F4",""
"Res2","AXIAL-0.4","1","R4",""
"UC30D-2-120018","Trafo_220_12_1","1","T2",""
