Removed Pin From Net: NetName=GND Pin=J3-2
Added Component: Designator=J4(SIP5)
Added Pin To Net: NetName=NetJ3_2 Pin=J3-2
Added Pin To Net: NetName=GND Pin=J3-1
Added Pin To Net: NetName=GND Pin=J3-2
Added Pin To Net: NetName=SH16-1 Pin=U3-1
Added Pin To Net: NetName=SH16-2 Pin=U3-2
Added Pin To Net: NetName=A5-3 Pin=U3-3
Added Pin To Net: NetName=A4-3 Pin=U3-4
Added Pin To Net: NetName=SH16-5 Pin=U3-5
Added Pin To Net: NetName=SH16-6 Pin=U3-6
Added Pin To Net: NetName=SH16-7 Pin=U3-7
Added Pin To Net: NetName=SH16-8 Pin=U3-8
Added Pin To Net: NetName=SH16-9 Pin=U3-9
Added Pin To Net: NetName=SH16-10 Pin=U3-10
Added Pin To Net: NetName=SH16-11 Pin=U3-11
Added Pin To Net: NetName=SH16-12 Pin=U3-12
Added Pin To Net: NetName=SH16-13 Pin=U3-13
Added Pin To Net: NetName=SH16-14 Pin=U3-14
Added Pin To Net: NetName=SH16-15 Pin=U3-15
Added Pin To Net: NetName=SH16-16 Pin=U3-16
Added Pin To Net: NetName=SH16-17 Pin=U3-17
Added Pin To Net: NetName=SH16-18 Pin=U3-18
Added Pin To Net: NetName=SH16-19 Pin=U3-19
Added Pin To Net: NetName=SH16-20 Pin=U3-20
Added Pin To Net: NetName=SH16-21 Pin=U3-21
Added Pin To Net: NetName=SH16-22 Pin=U3-22
Added Pin To Net: NetName=SH16-23 Pin=U3-23
Added Pin To Net: NetName=SH16-24 Pin=U3-24
Added Pin To Net: NetName=SH16-25 Pin=U3-25
Added Pin To Net: NetName=SH16-26 Pin=U3-26
Added Pin To Net: NetName=SH16-27 Pin=U3-27
Added Pin To Net: NetName=SH16-28 Pin=U3-28
Added Pin To Net: NetName=A5-2 Pin=U4-1
Added Pin To Net: NetName=A4-2 Pin=U4-2
Added Pin To Net: NetName=VCC-2 Pin=U4-3
Added Pin To Net: NetName=GND-2 Pin=U4-4
Added Pin To Net: NetName=SH4-5 Pin=U4-5
Added Pin To Net: NetName=SH4-6 Pin=U4-6
Added Pin To Net: NetName=SH4-7 Pin=U4-7
Added Pin To Net: NetName=SH4-8 Pin=U4-8
Added Pin To Net: NetName=SH4-9 Pin=U4-9
Added Pin To Net: NetName=SH4-10 Pin=U4-10
Added Pin To Net: NetName=SH4-11 Pin=U4-11
Added Pin To Net: NetName=SH4-12 Pin=U4-12
Added Pin To Net: NetName=SH4-13 Pin=U4-13
Added Pin To Net: NetName=SH4-14 Pin=U4-14
Added Pin To Net: NetName=SH4-15 Pin=U4-15
Added Pin To Net: NetName=SH4-16 Pin=U4-16
Added Pin To Net: NetName=SH4-17 Pin=U4-17
Added Pin To Net: NetName=SH4-18 Pin=U4-18
Added Pin To Net: NetName=SH4-19 Pin=U4-19
Added Pin To Net: NetName=SH4-20 Pin=U4-20
Added Member To Class: ClassName=Controlador de velocidad Member=Component J4 CON5
Added Member To Class: ClassName=Controlador de velocidad Member=Component U3 SH16
Added Member To Class: ClassName=Controlador de velocidad Member=Component U4 MC9S08SH4 (TSSOP20)
